backtest_date,symbol,entry_date,entry_price,exit_date,exit_price,pct_gain,outcome,hold_days,score,years_window,min_score,take_profit_pct,stop_loss_pct
2026-03-03,NVDA,2023-09-21,41.5564,2023-11-13,48.3021,16.23,TP,53,3,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2024-04-19,78.0855,2024-05-07,91.0764,16.64,TP,18,2,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2024-07-30,112.882,2024-08-06,103.824,-8.02,SL,7,3,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2024-08-06,107.794,2024-08-08,101.984,-5.39,SL,2,2,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2024-08-08,105.624,2024-08-16,121.922,15.43,TP,8,2,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2024-09-03,105.394,2024-09-26,126.791,20.3,TP,23,2,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2025-01-27,121.81,2025-02-21,140.04,14.97,TP,25,3,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2025-02-27,118.02,2025-03-11,106.99,-9.35,SL,12,2,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2025-03-11,114.12,2025-04-04,98.91,-13.33,SL,24,2,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2025-04-04,87.46,2025-04-10,109.37,25.05,TP,6,4,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2025-04-17,98.77,2025-05-05,112.905,14.31,TP,18,2,3,2,0.1500,0.0700,False
2026-03-03,NVDA,2025-11-21,179.49,2026-03-02,182.48,1.67,OPEN,101,2,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2023-08-15,228.02,2023-09-12,270.76,18.74,TP,28,2,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2023-09-27,240.02,2023-10-20,217.01,-9.59,SL,23,2,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2023-10-20,210.0,2023-11-16,239.49,14.04,TP,27,3,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2024-01-10,230.57,2024-01-19,209.99,-8.93,SL,9,2,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2024-01-19,212.26,2024-01-26,185.5,-12.61,SL,7,3,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2024-01-26,185.63,2024-03-14,167.77,-9.62,SL,48,4,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2024-03-14,163.16,2024-04-19,148.97,-8.7,SL,36,4,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2024-04-19,140.56,2024-04-25,158.96,13.09,TP,6,4,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2024-04-25,168.85,2024-06-27,195.17,15.59,TP,63,2,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2024-10-21,217.31,2024-10-25,256.01,17.81,TP,4,2,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2025-02-11,329.94,2025-02-26,303.715,-7.95,SL,15,3,3,2,0.1500,0.0700,False
2026-03-03,TSLA,2025-02-26,291.16,2025-03-07,259.32,-10.94,SL,9,3,3,2,0.1500,0.0700,False
